Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02144,2019.06,213,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SLS01G02144,2020.06,177,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SLS01G02144,2021.06,161,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SLS01G02144,2022.06,183,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SLS01G02144,2023.06,316,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SLS01G02981,2009.06,747,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2010.06,806,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2011.06,948,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2012.06,901,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2013.06,810,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2014.06,723,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2015.06,681,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2016.06,791,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2017.06,833,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2018.06,899,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2019.06,917,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
